Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,81,81,0,0,0,0,0,0,0,0,81,81,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,155,155,0,0,0,0,0,0,0,0,155,155,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,855,855,0,0,0,0,0,0,0,0,855,855,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,56,56,0,0,0,0,0,0,0,0,56,56,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,188,188,0,0,0,0,0,0,0,0,188,188,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,377,377,0,0,0,0,0,0,0,0,377,377,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,438,438,0,0,0,0,0,0,0,0,438,438,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1016,1016,0,0,0,0,0,0,0,0,1016,1016,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,193,193,0,0,0,0,0,0,0,0,193,193,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,221,221,0,0,0,0,0,0,0,0,221,221,0
