Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,264,264,0,0,0,0,0,0,0,0,264,264,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,28,28,0,0,0,0,0,0,0,0,28,28,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,13,13,0,0,0,0,0,0,0,0,13,13,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,58,58,0,0,0,0,0,0,0,0,58,58,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,98,98,0,0,0,0,0,0,0,0,98,98,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,41,41,0,0,0,0,0,0,0,0,41,41,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,90,90,0,0,0,0,0,0,0,0,90,90,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,33,33,0,0,0,0,0,0,0,0,33,33,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,85,85,0,0,0,0,0,0,0,0,85,85,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,86,86,0,0,0,0,0,0,0,0,86,86,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,75,75,0,0,0,0,0,0,0,0,75,75,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,92,92,0,0,0,0,0,0,0,0,92,92,0
