Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,252,252,0,0,0,0,0,0,0,0,252,252,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,54,54,0,0,0,0,0,0,0,0,54,54,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,86,86,0,0,0,0,0,0,0,0,86,86,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,39,39,0,0,0,0,0,0,0,0,39,39,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,74,74,0,0,0,0,0,0,0,0,74,74,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,0,0,1,0,-1,0,0,0,0,0,-1,0,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,83,83,0,0,0,0,0,0,0,0,83,83,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,83,83,0,0,0,0,0,0,0,0,83,83,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,73,73,0,0,0,0,0,0,0,0,73,73,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,90,90,0,0,0,0,0,0,0,0,90,90,0
