Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,1000,1000,0,0,0,0,0,0,0,0,1000,1000,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,500,500,0,0,0,0,0,0,0,0,500,500,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,625,625,0,0,0,0,0,0,0,0,625,625,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,500,500,0,0,0,0,0,0,0,0,500,500,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,163,163,0,0,0,0,0,0,0,0,163,163,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,292,292,0,0,0,0,0,0,0,0,292,292,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,429,429,0,0,0,0,0,0,0,0,429,429,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1000,1000,0,0,0,0,0,0,0,0,1000,1000,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,173,173,0,0,0,0,0,0,0,0,173,173,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,221,221,0,0,0,0,0,0,0,0,221,221,0
