Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,270,270,0,0,0,0,0,0,0,0,270,270,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,129,129,0,0,0,0,0,0,0,0,129,129,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,70,70,0,0,0,0,0,0,0,0,70,70,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,140,140,0,0,0,0,0,0,0,0,140,140,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,265,265,0,0,0,0,0,0,0,0,265,265,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,422,422,0,0,0,0,0,0,0,0,422,422,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,998,998,0,0,0,0,0,0,0,0,998,998,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,168,168,0,0,0,0,0,0,0,0,168,168,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,221,221,0,0,0,0,0,0,0,0,221,221,0
