Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,147,147,0,0,0,0,0,0,0,0,147,147,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,253,253,0,0,0,0,0,0,0,0,253,253,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,103,103,0,0,0,0,0,0,0,0,103,103,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,125,125,0,0,0,0,0,0,0,0,125,125,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,225,225,0,0,0,0,0,0,0,0,225,225,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,31,31,0,0,0,0,0,0,0,0,31,31,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,35,35,0,0,0,0,0,0,0,0,35,35,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,76,76,0,0,0,0,0,0,0,0,76,76,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,75,75,0,0,0,0,0,0,0,0,75,75,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,65,65,0,0,0,0,0,0,0,0,65,65,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,83,83,0,0,0,0,0,0,0,0,83,83,0
