Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,123,123,0,0,0,0,0,0,0,0,123,123,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,247,247,0,0,0,0,0,0,0,0,247,247,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,87,87,0,0,0,0,0,0,0,0,87,87,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,28,28,0,0,0,0,0,0,0,0,28,28,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,116,116,0,0,0,0,0,0,0,0,116,116,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,215,215,0,0,0,0,0,0,0,0,215,215,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,76,76,0,0,0,0,0,0,0,0,76,76,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,74,74,0,0,0,0,0,0,0,0,74,74,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,61,61,0,0,0,0,0,0,0,0,61,61,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,81,81,0,0,0,0,0,0,0,0,81,81,0
