Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,227,227,0,0,0,0,0,0,0,0,227,227,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,53,53,0,0,0,0,0,0,0,0,53,53,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,189,189,0,0,0,0,0,0,0,0,189,189,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,62,62,0,0,0,0,0,0,0,0,62,62,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,59,59,0,0,0,0,0,0,0,0,59,59,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,67,67,0,0,0,0,0,0,0,0,67,67,0
