Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,24,24,0,0,0,0,0,0,0,0,24,24,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,226,226,0,0,0,0,0,0,0,0,226,226,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,14,14,0,0,0,0,0,0,0,0,14,14,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,180,180,0,0,0,0,0,0,0,0,180,180,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,103,103,0,0,0,0,0,0,0,0,103,103,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,70,70,0,0,0,0,0,0,0,0,70,70,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,64,64,0,0,0,0,0,0,0,0,64,64,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,73,73,0,0,0,0,0,0,0,0,73,73,0
