Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,67,67,0,0,0,0,0,0,0,0,67,67,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,540,540,0,0,0,0,0,0,0,0,540,540,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,70,70,0,0,0,0,0,0,0,0,70,70,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,83,83,0,0,0,0,0,0,0,0,83,83,0
"OPPO Pad Neo (8+256G)","Aurora Purple",IoT,"Pad Neo (8+256G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,407,407,0,0,0,0,0,0,0,0,407,407,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,976,976,0,0,0,0,0,0,0,0,976,976,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,151,151,0,0,0,0,0,0,0,0,151,151,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,209,209,0,0,0,0,0,0,0,0,209,209,0
