Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,1500,1500,0,0,0,0,0,0,0,0,1500,1500,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,575,575,0,0,0,0,0,0,0,0,575,575,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,93,93,0,0,7,7,0,0,0,0,100,100,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,4,4,0,0,44,44,0,0,0,0,48,48,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,215,215,0,0,0,0,0,0,0,0,215,215,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,155,155,0,0,0,0,0,0,0,0,155,155,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,460,460,0,0,0,0,0,0,0,0,460,460,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,33,33,0,0,0,0,0,0,0,0,33,33,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,407,407,0,0,0,0,0,0,0,0,407,407,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,960,960,0,0,0,0,0,0,0,0,960,960,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,125,125,0,0,0,0,0,0,0,0,125,125,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,201,201,0,0,0,0,0,0,0,0,201,201,0
