Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,52,52,0,0,0,0,0,0,0,0,52,52,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,32,32,0,0,2,2,0,0,0,0,34,34,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,34,34,0,0,1,1,0,0,0,0,35,35,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,231,231,0,0,0,0,0,0,0,0,231,231,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,99,99,0,0,0,0,0,0,0,0,99,99,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,149,149,0,0,0,0,0,0,0,0,149,149,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,58,58,0,0,0,0,0,0,0,0,58,58,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,29,29,0,0,0,0,0,0,0,0,29,29,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,54,54,0,0,0,0,0,0,0,0,54,54,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,38,38,0,0,0,0,0,0,0,0,38,38,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,54,54,0,0,0,0,0,0,0,0,54,54,0
