Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,78,78,0,0,0,0,0,0,0,0,78,78,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,71,71,0,0,2,2,0,0,0,0,73,73,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,116,116,0,0,1,1,0,0,0,0,117,117,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,209,209,0,0,0,0,0,0,0,0,209,209,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,88,88,0,0,0,0,0,0,0,0,88,88,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,146,146,0,0,0,0,0,0,0,0,146,146,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,34,34,0,0,0,0,0,0,0,0,34,34,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,31,31,0,0,0,0,0,0,0,0,31,31,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,53,53,0,0,0,0,0,0,0,0,53,53,0
