Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,96,96,0,0,0,0,0,0,0,0,96,96,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,64,64,0,0,2,2,0,0,0,0,66,66,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,77,77,0,0,1,1,0,0,0,0,78,78,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,173,173,0,0,0,0,0,0,0,0,173,173,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,57,57,0,0,0,0,0,0,0,0,57,57,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,115,115,0,0,0,0,0,0,0,0,115,115,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,135,135,0,0,0,0,0,0,0,0,135,135,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,78,78,0,0,0,0,0,0,0,0,78,78,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,23,23,0,0,0,0,0,0,0,0,23,23,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,24,24,0,0,0,0,0,0,0,0,24,24,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,51,51,0,0,0,0,0,0,0,0,51,51,0
