Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,345,345,0,0,0,0,0,0,0,0,345,345,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,80,80,0,0,0,0,0,0,0,0,80,80,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,408,408,0,0,0,0,0,0,0,0,408,408,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,113,113,0,0,0,0,0,0,0,0,113,113,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,168,168,0,0,0,0,0,0,0,0,168,168,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,170,170,0,0,0,0,0,0,0,0,170,170,0
"OPPO Find X8 (16+512G)","Star Grey",Phone,"Find X8 (16+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Find X8 (16+512G)","Space Black",Phone,"Find X8 (16+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,358,358,0,0,0,0,0,0,0,0,358,358,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,874,874,0,0,0,0,0,0,0,0,874,874,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,81,81,0,0,0,0,0,0,0,0,81,81,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,177,177,0,0,0,0,0,0,0,0,177,177,0
