Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,56,56,0,0,0,0,0,0,0,0,56,56,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,37,37,0,0,2,2,0,0,0,0,39,39,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,57,57,0,0,1,1,0,0,0,0,58,58,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,133,133,0,0,0,0,0,0,0,0,133,133,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,68,68,0,0,0,0,0,0,0,0,68,68,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,49,49,0,0,0,0,0,0,0,0,49,49,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,81,81,0,0,0,0,0,0,0,0,81,81,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,133,133,0,0,0,0,0,0,0,0,133,133,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,70,70,0,0,0,0,0,0,0,0,70,70,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,13,13,0,0,0,0,0,0,0,0,13,13,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,51,51,0,0,0,0,0,0,0,0,51,51,0
