Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,118,118,0,0,0,0,0,0,0,0,118,118,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,87,87,0,0,0,0,0,0,0,0,87,87,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,149,149,0,0,0,0,0,0,0,0,149,149,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,127,127,0,0,0,0,0,0,0,0,127,127,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,52,52,0,0,0,0,0,0,0,0,52,52,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,34,34,0,0,0,0,0,0,0,0,34,34,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,31,31,0,0,0,0,0,0,0,0,31,31,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,47,47,0,0,0,0,0,0,0,0,47,47,0
