Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,155,155,0,0,0,0,0,0,0,0,155,155,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,155,155,0,0,0,0,0,0,0,0,155,155,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,175,175,0,0,0,0,0,0,0,0,175,175,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,250,250,0,0,0,0,0,0,0,0,250,250,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,708,708,0,0,0,0,0,0,0,0,708,708,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,673,673,0,0,0,0,0,0,0,0,673,673,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,2160,2160,0,0,0,0,0,0,0,0,2160,2160,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,201,201,0,0,0,0,0,0,0,0,201,201,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,500,500,0,0,0,0,0,0,0,0,500,500,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,337,337,0,0,0,0,0,0,0,0,337,337,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,812,812,0,0,0,0,0,0,0,0,812,812,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,155,155,0,0,0,0,0,0,0,0,155,155,0
