Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,115,115,0,0,0,0,0,0,0,0,115,115,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,255,255,0,0,0,0,0,0,0,0,255,255,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,558,558,0,0,0,0,0,0,0,0,558,558,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1283,1283,0,0,0,0,0,0,0,0,1283,1283,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,196,196,0,0,0,0,0,0,0,0,196,196,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,328,328,0,0,0,0,0,0,0,0,328,328,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,337,337,0,0,0,0,0,0,0,0,337,337,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,812,812,0,0,0,0,0,0,0,0,812,812,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,155,155,0,0,0,0,0,0,0,0,155,155,0
