Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,55,55,0,0,0,0,0,0,0,0,55,55,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,70,70,0,0,0,0,0,0,0,0,70,70,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,528,528,0,0,0,0,0,0,0,0,528,528,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1083,1083,0,0,0,0,0,0,0,0,1083,1083,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,196,196,0,0,0,0,0,0,0,0,196,196,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,318,318,0,0,0,0,0,0,0,0,318,318,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,332,332,0,0,0,0,0,0,0,0,332,332,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,802,802,0,0,0,0,0,0,0,0,802,802,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,23,23,0,0,0,0,0,0,0,0,23,23,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,145,145,0,0,0,0,0,0,0,0,145,145,0
