Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,438,438,0,0,0,0,0,0,0,0,438,438,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1033,1033,0,0,0,0,0,0,0,0,1033,1033,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,156,156,0,0,0,0,0,0,0,0,156,156,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,248,248,0,0,0,0,0,0,0,0,248,248,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,332,332,0,0,0,0,0,0,0,0,332,332,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,801,801,0,0,0,0,0,0,0,0,801,801,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,145,145,0,0,0,0,0,0,0,0,145,145,0
