Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,62,62,0,0,0,0,0,0,0,0,62,62,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,86,86,0,0,0,0,0,0,0,0,86,86,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,49,49,0,0,0,0,0,0,0,0,49,49,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,136,136,0,0,0,0,0,0,0,0,136,136,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,110,110,0,0,0,0,0,0,0,0,110,110,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,99,99,0,0,0,0,0,0,0,0,99,99,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,38,38,0,0,0,0,0,0,0,0,38,38,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,29,29,0,0,0,0,0,0,0,0,29,29,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
