Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,75,75,0,0,0,0,0,0,0,0,75,75,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,54,54,0,0,0,0,0,0,0,0,54,54,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,76,76,0,0,0,0,0,0,0,0,76,76,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,94,94,0,0,0,0,0,0,0,0,94,94,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,68,68,0,0,0,0,0,0,0,0,68,68,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Find X8 Pro (16+512G)","Pearl White",Phone,"Find X8 Pro (16+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Find X8 Pro (16+512G)","Space Black",Phone,"Find X8 Pro (16+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,41,41,0,0,0,0,0,0,0,0,41,41,0
