Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,35,35,0,0,0,0,0,0,0,0,35,35,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,490,490,0,0,0,0,0,0,0,0,490,490,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,670,670,0,0,0,0,0,0,0,0,670,670,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,560,560,0,0,0,0,0,0,0,0,560,560,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,824,824,0,0,0,0,0,0,0,0,824,824,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,231,231,0,0,0,0,0,0,0,0,231,231,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,488,488,0,0,0,0,0,0,0,0,488,488,0
"OPPO Find X8 (16+512G)","Space Black",Phone,"Find X8 (16+512G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,279,279,0,0,0,0,0,0,0,0,279,279,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,613,613,0,0,0,0,0,0,0,0,613,613,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,87,87,0,0,0,0,0,0,0,0,87,87,0
