Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,95,95,0,0,0,0,0,0,0,0,95,95,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,95,95,0,0,0,0,0,0,0,0,95,95,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,455,455,0,0,0,0,0,0,0,0,455,455,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,940,940,0,0,0,0,0,0,0,0,940,940,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,285,285,0,0,0,0,0,0,0,0,285,285,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,921,921,0,0,0,0,0,0,0,0,921,921,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,442,442,0,0,0,0,0,0,0,0,442,442,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,782,782,0,0,0,0,0,0,0,0,782,782,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Find X8 (16+512G)","Space Black",Phone,"Find X8 (16+512G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,33,33,0,0,0,0,0,0,0,0,33,33,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,237,237,0,0,0,0,0,0,0,0,237,237,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,550,550,0,0,0,0,0,0,0,0,550,550,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,72,72,0,0,0,0,0,0,0,0,72,72,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
