Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,81,81,0,0,0,0,0,0,0,0,81,81,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,109,109,0,0,0,0,0,0,0,0,109,109,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",0,0,96,96,0,0,0,0,0,0,0,0,96,96,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,56,56,0,0,0,0,0,0,0,0,56,56,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,75,75,0,0,0,0,0,0,0,0,75,75,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,58,58,0,0,0,0,0,0,0,0,58,58,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,82,82,0,0,0,0,0,0,0,0,82,82,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,81,81,0,0,0,0,0,0,0,0,81,81,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,73,73,0,0,0,0,0,0,0,0,73,73,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,46,46,0,0,0,0,0,0,0,0,46,46,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
