Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,220,220,0,0,0,0,0,0,0,0,220,220,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,510,510,0,0,0,0,0,0,0,0,510,510,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,155,155,0,0,0,0,0,0,0,0,155,155,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",0,0,250,250,0,0,0,0,0,0,0,0,250,250,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,210,210,0,0,0,0,0,0,0,0,210,210,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,820,820,0,0,0,0,0,0,0,0,820,820,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,722,722,0,0,0,0,0,0,0,0,722,722,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,230,230,0,0,0,0,0,0,0,0,230,230,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,382,382,0,0,0,0,0,0,0,0,382,382,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,194,194,0,0,0,0,0,0,0,0,194,194,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,468,468,0,0,0,0,0,0,0,0,468,468,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,67,67,0,0,0,0,0,0,0,0,67,67,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,364,364,0,0,0,0,0,0,0,0,364,364,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,244,244,0,0,0,0,0,0,0,0,244,244,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,107,107,0,0,0,0,0,0,0,0,107,107,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,106,106,0,0,0,0,0,0,0,0,106,106,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
