Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,130,130,0,0,0,0,0,0,0,0,130,130,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,70,70,0,0,0,0,0,0,0,0,70,70,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,46,46,0,0,0,0,0,0,0,0,46,46,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",0,0,23,23,0,0,0,0,0,0,0,0,23,23,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,86,86,0,0,0,0,0,0,0,0,86,86,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,48,48,0,0,0,0,0,0,0,0,48,48,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,56,56,0,0,0,0,0,0,0,0,56,56,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,32,32,0,0,0,0,0,0,0,0,32,32,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,57,57,0,0,0,0,0,0,0,0,57,57,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,66,66,0,0,0,0,0,0,0,0,66,66,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,51,51,0,0,0,0,0,0,0,0,51,51,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,20,20,0,0,1,1,0,0,0,0,21,21,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,88,88,0,0,0,0,0,0,0,0,88,88,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,36,36,0,0,1,1,0,0,0,0,37,37,0
