Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,126,126,0,0,0,0,0,0,0,0,126,126,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,66,66,0,0,0,0,0,0,0,0,66,66,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,71,71,0,0,0,0,0,0,0,0,71,71,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,32,32,0,0,0,0,0,0,0,0,32,32,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,55,55,0,0,0,0,0,0,0,0,55,55,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,66,66,0,0,0,0,0,0,0,0,66,66,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,51,51,0,0,0,0,0,0,0,0,51,51,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,24,24,0,0,0,0,0,0,0,0,24,24,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,20,20,0,0,1,1,0,0,0,0,21,21,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,14,14,0,0,0,0,0,0,0,0,14,14,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,86,86,0,0,0,0,0,0,0,0,86,86,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,36,36,0,0,1,1,0,0,0,0,37,37,0
