Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,149,149,0,0,0,0,0,0,0,0,149,149,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,122,122,0,0,0,0,0,0,0,0,122,122,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,90,90,0,0,0,0,0,0,0,0,90,90,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,245,245,0,0,0,0,0,0,0,0,245,245,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,92,92,0,0,0,0,0,0,0,0,92,92,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,154,154,0,0,0,0,0,0,0,0,154,154,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,47,47,0,0,0,0,0,0,0,0,47,47,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,66,66,0,0,0,0,0,0,0,0,66,66,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,23,23,0,0,0,0,0,0,0,0,23,23,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,19,19,0,0,1,1,0,0,0,0,20,20,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,34,34,0,0,0,0,0,0,0,0,34,34,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,84,84,0,0,0,0,0,0,0,0,84,84,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,35,35,0,0,1,1,0,0,0,0,36,36,0
