Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,70,70,0,0,0,0,0,0,0,0,70,70,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,89,89,0,0,0,0,0,0,0,0,89,89,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,95,95,0,0,0,0,0,0,0,0,95,95,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,505,505,0,0,0,0,0,0,0,0,505,505,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,277,277,0,0,0,0,0,0,0,0,277,277,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,71,71,0,0,0,0,0,0,0,0,71,71,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,292,292,0,0,0,0,0,0,0,0,292,292,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",11,0,107,118,0,0,0,0,0,0,0,0,107,118,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",7,0,86,93,0,0,0,0,0,0,0,0,86,93,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",3,0,5,8,0,0,0,0,0,0,0,0,5,8,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",15,0,154,169,0,0,0,0,0,0,0,0,154,169,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",30,0,142,172,0,0,0,0,0,0,0,0,142,172,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
