Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,141,141,0,0,0,0,0,0,0,0,141,141,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,101,101,0,0,0,0,0,0,0,0,101,101,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,80,80,0,0,0,0,0,0,0,0,80,80,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,189,189,0,0,0,0,0,0,0,0,189,189,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,63,63,0,0,0,0,0,0,0,0,63,63,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,107,107,0,0,0,0,0,0,0,0,107,107,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,35,35,0,0,0,0,0,0,0,0,35,35,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,64,64,0,0,0,0,0,0,0,0,64,64,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,48,48,0,0,0,0,0,0,0,0,48,48,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,15,15,0,0,1,1,0,0,0,0,16,16,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,32,32,0,0,0,0,0,0,0,0,32,32,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,80,80,0,0,0,0,0,0,0,0,80,80,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,24,24,0,0,1,1,0,0,0,0,25,25,0
