Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,160,160,0,0,0,0,0,0,0,0,160,160,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,395,395,0,0,0,0,0,0,0,0,395,395,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,685,685,0,0,0,0,0,0,0,0,685,685,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1355,1355,0,0,0,0,0,0,0,0,1355,1355,0
"OPPO A5 Pro (8+128G)","Mocha Brown",Phone,"A5 Pro (8+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A5 Pro (8+128G)","Feather Blue",Phone,"A5 Pro (8+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A5 Pro 5G (8+256G)","Mocha Brown",Phone,"A5 Pro 5G (8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO A5 Pro 5G (8+256G)","Bloom Pink",Phone,"A5 Pro 5G (8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,147,147,0,0,0,0,0,0,0,0,147,147,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,64,64,0,0,0,0,0,0,0,0,64,64,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
