Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,305,305,0,0,0,0,0,0,0,0,305,305,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,793,793,0,0,0,0,0,0,0,0,793,793,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,150,150,0,0,0,0,0,0,0,0,150,150,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,350,350,0,0,0,0,0,0,0,0,350,350,0
"OPPO A5 Pro (8+128G)","Mocha Brown",Phone,"A5 Pro (8+128G)",0,0,1053,1053,0,0,0,0,0,0,0,0,1053,1053,0
"OPPO A5 Pro (8+128G)","Feather Blue",Phone,"A5 Pro (8+128G)",0,0,453,453,0,0,0,0,0,0,0,0,453,453,0
"OPPO A5 Pro (8+256G)","Mocha Brown",Phone,"A5 Pro (8+256G)",0,0,860,860,0,0,0,0,0,0,0,0,860,860,0
"OPPO A5 Pro (8+256G)","Feather Blue",Phone,"A5 Pro (8+256G)",0,0,450,450,0,0,0,0,0,0,0,0,450,450,0
"OPPO A5 Pro 5G (8+256G)","Mocha Brown",Phone,"A5 Pro 5G (8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO A5 Pro 5G (8+256G)","Bloom Pink",Phone,"A5 Pro 5G (8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,39,39,0,0,0,0,0,0,0,0,39,39,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,156,156,0,0,0,0,0,0,0,0,156,156,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
