Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,110,110,0,0,0,0,0,0,0,0,110,110,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,123,123,0,0,0,0,0,0,0,0,123,123,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,24,24,0,0,0,0,0,0,0,0,24,24,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,38,38,0,0,0,0,0,0,0,0,38,38,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,44,44,0,0,1,1,0,0,0,0,45,45,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
