Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,58,58,0,0,0,0,0,0,0,0,58,58,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,135,135,0,0,0,0,0,0,0,0,135,135,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,38,38,0,0,0,0,0,0,0,0,38,38,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,33,33,0,0,0,0,0,0,0,0,33,33,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
