Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,96,96,0,0,0,0,0,0,0,0,96,96,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",5,0,536,541,0,0,0,0,0,0,0,0,536,541,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,1495,1495,0,0,0,0,0,0,0,0,1495,1495,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",15,0,115,130,0,0,0,0,0,0,0,0,115,130,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",25,0,702,727,0,0,0,0,0,0,0,0,702,727,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",10,0,19,29,0,0,0,0,0,0,0,0,19,29,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",10,0,204,214,0,0,0,0,0,0,0,0,204,214,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",5,0,166,171,0,0,0,0,0,0,0,0,166,171,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",8,0,350,358,0,0,0,0,0,0,0,0,350,358,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,446,446,0,0,0,0,0,0,0,0,446,446,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,891,891,0,0,0,0,0,0,0,0,891,891,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,41,41,0,0,0,0,0,0,0,0,41,41,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,28,28,0,0,0,0,0,0,0,0,28,28,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",19,0,8,27,0,0,0,0,0,0,0,0,8,27,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,562,562,0,0,0,0,0,0,0,0,562,562,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1118,1118,0,0,0,0,0,0,0,0,1118,1118,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",2,0,286,288,0,0,0,0,0,0,0,0,286,288,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,277,277,0,0,1,1,0,0,0,0,278,278,0
